anngel,einnova,valerapp,1234,2024-08-23,2024-08-31,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 20, 'Total': 20}]",Ejemplo descripción
as,wqe,valerapp,qwwq,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 5, 'Total': 5}]",qweqw
<ss,as,valerapp,assa,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",assa,asas
asas,sasa,valerapp,assa,2024-08-22,2024-08-22,"[{'Articulo': 'sasa', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",asas
dfdf,dfdf,valerapp,dffd,2024-08-22,2024-08-22,"[{'Articulo': 'fd', 'Cantidad': 1, 'Precio': 8, 'Total': 8}]",dfdfdfd
kjlAS,aA,valerapp,a1,2024-08-22,2024-08-22,"[{'Articulo': 'wqw', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",ASA
ssa,sasa,valerapp,sasa,2024-08-22,2024-08-22,"[{'Articulo': 'sasa', 'Cantidad': 1, 'Precio': 5, 'Total': 5}]",sasa,sassa
we,sasae,valerapp,sasae,2024-08-22,2024-08-22,"[{'Articulo': 'weew', 'Cantidad': 1, 'Precio': 3, 'Total': 3}]",we,ew,3,1
sd,sd,valerapp,ds,2024-08-22,2024-08-22,"[{'Articulo': 'ds', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",dsffd,fddfs,3,3
sd,sd,valerapp,ds,2024-08-22,2024-08-22,"[{'Articulo': 'ds', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",dsffd,fddfs,3,3
erwer,ewrrew,valerapp,ewrerw,2024-08-22,2024-08-22,"[{'Articulo': 'wqqw', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",qwwq,qwqwqw,4,2
erwer,ewrrew,valerapp,ewrerw,2024-08-22,2024-08-22,"[{'Articulo': 'wqqw', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",qwwq,qwqwqw,4.0,2.0
erwer,ewrrew,valerapp,ewrerw,2024-08-22,2024-08-22,"[{'Articulo': 'wqqw', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",qwwq,qwqwqw,4.0,2.0
sd,sd,valerapp,sd,2024-08-22,2024-08-22,"[{'Articulo': 'ds', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",dssd,sddsds
Einnova,Estudio Shonos,Einnova,1234,2024-08-22,2024-08-31,"[{'Articulo': 'Posicionamiento SEO ', 'Cantidad': 1, 'Precio': 50, 'Total': 50}]",Contacto soporte: ejemplo@gmail.com,C.I.F : 0230492303
Einnova,Estudio Shonos,Einnova,12345,2024-08-22,2024-08-31,"[{'Articulo': 'Posicionamiento SEO', 'Cantidad': 1, 'Precio': 10, 'Total': 10}]",Contacto de soporte: ejemplo@gmail.com,C.I.F: 230984
d,d,Einnova,12345q,2024-08-24,2024-08-24,"[{'Articulo': 'd', 'Cantidad': 2, 'Precio': 1, 'Total': 2}]",q,q
adminq,q,Einnova,1234q5q,2024-08-24,2024-08-24,"[{'Articulo': 'q', 'Cantidad': 1, 'Precio': 2, 'Total': 2}]",q,q
